plan: 99 runs (24 cells, rounds 0..3), affinity 4, grid 500x500
[09:57:07] r3_K1e-05_elev_LMB: steady 9919.1 ms/step, first 9266.8 ms, peak 566 MB, wall 495.7 s, flooded 0
[09:58:52] r3_K1e-05_elev_PFFR: steady 1987.2 ms/step, first 2021.2 ms, peak 444 MB, wall 101.2 s, flooded 81074
[09:58:58] r3_K1e-05_elev_FS: steady 70.5 ms/step, first 73.4 ms, peak 108 MB, wall 3.7 s, flooded 77647
[10:07:22] r3_K1e-05_elev_da_DFR: steady 9945.2 ms/step, first 10371.7 ms, peak 509 MB, wall 500.9 s, flooded 80129
[10:15:42] r3_K1e-05_elev_da_LMB: steady 9932.6 ms/step, first 9261.2 ms, peak 566 MB, wall 496.3 s, flooded 0
[10:17:27] r3_K1e-05_elev_da_PFFR: steady 1999.4 ms/step, first 2034.9 ms, peak 446 MB, wall 101.8 s, flooded 81074
[10:17:34] r3_K1e-05_elev_da_FS: steady 70.5 ms/step, first 73.8 ms, peak 108 MB, wall 3.7 s, flooded 77647
[10:24:55] r3_K1e-04_elev_DFR: steady 8569.0 ms/step, first 10565.5 ms, peak 508 MB, wall 438.3 s, flooded 54609
[10:32:20] r3_K1e-04_elev_LMB: steady 8686.3 ms/step, first 9308.5 ms, peak 568 MB, wall 441.8 s, flooded 0
[10:34:06] r3_K1e-04_elev_PFFR: steady 2022.4 ms/step, first 2050.0 ms, peak 444 MB, wall 103.1 s, flooded 55812
[10:34:13] r3_K1e-04_elev_FS: steady 58.8 ms/step, first 73.0 ms, peak 108 MB, wall 3.2 s, flooded 8794
[10:41:35] r3_K1e-04_elev_da_DFR: steady 8574.9 ms/step, first 10776.4 ms, peak 507 MB, wall 439.2 s, flooded 54609
[10:49:04] r3_K1e-04_elev_da_LMB: steady 8765.4 ms/step, first 9394.4 ms, peak 567 MB, wall 445.7 s, flooded 0
[10:50:49] r3_K1e-04_elev_da_PFFR: steady 2001.1 ms/step, first 2033.9 ms, peak 445 MB, wall 101.9 s, flooded 55812
[10:50:55] r3_K1e-04_elev_da_FS: steady 59.4 ms/step, first 73.1 ms, peak 108 MB, wall 3.2 s, flooded 8794
[10:59:35] r3_K1e-06_elev_DFR: steady 10297.8 ms/step, first 10557.4 ms, peak 508 MB, wall 517.3 s, flooded 91730
[11:07:41] r3_K1e-06_elev_LMB: steady 9622.2 ms/step, first 9459.9 ms, peak 562 MB, wall 482.4 s, flooded 0
[11:09:26] r3_K1e-06_elev_PFFR: steady 2000.1 ms/step, first 2041.8 ms, peak 444 MB, wall 101.9 s, flooded 91818
[11:09:33] r3_K1e-06_elev_FS: steady 71.3 ms/step, first 73.3 ms, peak 108 MB, wall 3.7 s, flooded 91639
[11:18:10] r3_K1e-06_elev_da_DFR: steady 10218.2 ms/step, first 10513.5 ms, peak 508 MB, wall 514.1 s, flooded 91730
[11:26:18] r3_K1e-06_elev_da_LMB: steady 9689.9 ms/step, first 9377.6 ms, peak 561 MB, wall 485.1 s, flooded 0
[11:28:04] r3_K1e-06_elev_da_PFFR: steady 1999.7 ms/step, first 2044.5 ms, peak 445 MB, wall 102.0 s, flooded 91818
[11:28:10] r3_K1e-06_elev_da_FS: steady 71.1 ms/step, first 73.9 ms, peak 108 MB, wall 3.7 s, flooded 91639
[11:28:17] r3_K1e-05_elev_FS_PIECEWISE: steady 70.4 ms/step, first 73.2 ms, peak 108 MB, wall 3.7 s, flooded 77647
matrix finished
